"call_Id","date","employee_Id","length_mins","product","outcome","survey_rating","first_Name","last_Name","employee_Id","office_City","office_State","region","team","supervisor"
"C000029",2022-01-06 19:00:00,"E00027",23,"Google 790","Return and Refund",3,"Brayden","Franklin","E00027","Chadron","Nebraska","North",4,"Channing Tatum"
"C000030",2022-01-09 19:00:00,"E00038",11,"Google 790","Issue Resolved",3,"Bonita","Erickson","E00038","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000031",2022-01-11 19:00:00,"E00018",25,"Google 790","Denied Claim",2,"Maci","Kinney","E00018","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000032",2022-01-13 19:00:00,"E00036",19,"Google 790","Issue Resolved",3,"Raya","Hooper","E00036","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000033",2022-01-16 19:00:00,"E00005",5,"Nokia 680","Denied Claim",1,"Marion","Rosas","E00005","Omaha","Nebraska","East",1,"Tom Cruise"
"C000034",2022-01-17 19:00:00,"E00031",16,"Apple 120","Return and Refund",4,"Fatema","Dowling","E00031","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000035",2022-01-20 19:00:00,"E00006",19,"Apple 120","Denied Claim",1,"Juan","Schwartz","E00006","Omaha","Nebraska","East",1,"Tom Cruise"
"C000036",2022-01-23 19:00:00,"E00028",5,"Nokia 680","Return and Refund",1,"Cyrus","Vaughan","E00028","Chadron","Nebraska","North",4,"Channing Tatum"
"C000037",2022-01-24 19:00:00,"E00020",22,"Nokia 680","Return and Refund",4,"Giovanni","Porter","E00020","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000038",2022-01-30 19:00:00,"E00050",19,"Google 790","Issue Resolved",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000039",2022-01-31 19:00:00,"E00050",9,"Apple 120","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000040",2022-02-02 19:00:00,"E00037",5,"Google 790","Issue Resolved",3,"Zubair","Mccullough","E00037","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000041",2022-02-03 19:00:00,"E00021",17,"Apple 120","Denied Claim",1,"Igor","Clements","E00021","Chadron","Nebraska","North",4,"Channing Tatum"
"C000042",2022-02-08 19:00:00,"E00012",20,"Apple 120","Issue Resolved",4,"Isma","Velez","E00012","Omaha","Nebraska","East",2,"Tom Hanks"
"C000043",2022-02-09 19:00:00,"E00002",15,"Apple 120","Issue Resolved",4,"Dahlia","Grey","E00002","Omaha","Nebraska","East",1,"Tom Cruise"
"C000044",2022-02-10 19:00:00,"E00023",16,"Google 790","Denied Claim",2,"Harleigh","Murphy","E00023","Chadron","Nebraska","North",4,"Channing Tatum"
"C000045",2022-02-14 19:00:00,"E00050",5,"Google 790","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000046",2022-02-16 19:00:00,"E00020",13,"Nokia 680","Issue Resolved",4,"Giovanni","Porter","E00020","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000047",2022-02-17 19:00:00,"E00014",6,"Google 790","Denied Claim",1,"Ema","Lennon","E00014","Omaha","Nebraska","East",2,"Tom Hanks"
"C000048",2022-02-20 19:00:00,"E00016",23,"Google 790","Issue Resolved",4,"Paolo","Vega","E00016","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000049",2022-02-21 19:00:00,"E00026",23,"Nokia 680","Issue Resolved",5,"Rachael","Legge","E00026","Chadron","Nebraska","North",4,"Channing Tatum"
"C000050",2022-02-23 19:00:00,"E00050",24,"Apple 120","Issue Resolved",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000051",2022-01-05 19:00:00,"E00031",9,"Nokia 680","Issue Resolved",4,"Fatema","Dowling","E00031","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000052",2022-01-04 19:00:00,"E00013",20,"Apple 120","Issue Resolved",5,"Sanna","Macfarlane","E00013","Omaha","Nebraska","East",2,"Tom Hanks"
"C000053",2022-01-05 19:00:00,"E00013",8,"Google 790","Return and Refund",4,"Sanna","Macfarlane","E00013","Omaha","Nebraska","East",2,"Tom Hanks"
"C000054",2022-01-06 19:00:00,"E00004",3,"Nokia 680","Return and Refund",1,"Sherri","Murillo","E00004","Omaha","Nebraska","East",1,"Tom Cruise"
"C000055",2022-01-09 19:00:00,"E00050",5,"Google 790","Issue Resolved",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000056",2022-01-11 19:00:00,"E00030",4,"Nokia 680","Issue Resolved",4,"Louisa","Brock","E00030","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000057",2022-01-13 19:00:00,"E00050",18,"Nokia 680","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000058",2022-01-16 19:00:00,"E00021",7,"Nokia 680","Denied Claim",1,"Igor","Clements","E00021","Chadron","Nebraska","North",4,"Channing Tatum"
"C000059",2022-01-17 19:00:00,"E00035",19,"Nokia 680","Denied Claim",3,"Marianna","Thorpe","E00035","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000060",2022-01-20 19:00:00,"E00028",14,"Apple 120","Return and Refund",1,"Cyrus","Vaughan","E00028","Chadron","Nebraska","North",4,"Channing Tatum"
"C000061",2022-01-23 19:00:00,"E00038",22,"Google 790","Return and Refund",2,"Bonita","Erickson","E00038","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000062",2022-01-24 19:00:00,"E00050",10,"Apple 120","Return and Refund",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000063",2022-01-30 19:00:00,"E00050",14,"Apple 120","Return and Refund",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000064",2022-01-31 19:00:00,"E00013",9,"Nokia 680","Denied Claim",2,"Sanna","Macfarlane","E00013","Omaha","Nebraska","East",2,"Tom Hanks"
"C000065",2022-02-02 19:00:00,"E00050",13,"Apple 120","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000066",2022-02-03 19:00:00,"E00050",8,"Apple 120","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000067",2022-02-08 19:00:00,"E00030",17,"Apple 120","Return and Refund",4,"Louisa","Brock","E00030","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000068",2022-02-09 19:00:00,"E00013",20,"Apple 120","Issue Resolved",5,"Sanna","Macfarlane","E00013","Omaha","Nebraska","East",2,"Tom Hanks"
"C000069",2022-02-10 19:00:00,"E00004",1,"Google 790","Return and Refund",1,"Sherri","Murillo","E00004","Omaha","Nebraska","East",1,"Tom Cruise"
"C000070",2022-02-14 19:00:00,"E00020",24,"Google 790","Return and Refund",3,"Giovanni","Porter","E00020","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000071",2022-02-16 19:00:00,"E00033",10,"Google 790","Issue Resolved",4,"Diesel","Leon","E00033","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000072",2022-02-17 19:00:00,"E00014",2,"Google 790","Denied Claim",2,"Ema","Lennon","E00014","Omaha","Nebraska","East",2,"Tom Hanks"
"C000073",2022-02-20 19:00:00,"E00035",24,"Google 790","Issue Resolved",3,"Marianna","Thorpe","E00035","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000074",2022-02-21 19:00:00,"E00004",10,"Google 790","Issue Resolved",1,"Sherri","Murillo","E00004","Omaha","Nebraska","East",1,"Tom Cruise"
"C000075",2022-02-23 19:00:00,"E00009",17,"Google 790","Issue Resolved",4,"Reanna","Arellano","E00009","Omaha","Nebraska","East",2,"Tom Hanks"
"C000076",2022-01-05 19:00:00,"E00009",21,"Apple 120","Denied Claim",2,"Reanna","Arellano","E00009","Omaha","Nebraska","East",2,"Tom Hanks"
"C000077",2022-01-04 19:00:00,"E00005",9,"Google 790","Return and Refund",1,"Marion","Rosas","E00005","Omaha","Nebraska","East",1,"Tom Cruise"
"C000078",2022-01-05 19:00:00,"E00005",7,"Apple 120","Issue Resolved",1,"Marion","Rosas","E00005","Omaha","Nebraska","East",1,"Tom Cruise"
"C000079",2022-01-06 19:00:00,"E00038",3,"Nokia 680","Denied Claim",2,"Bonita","Erickson","E00038","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000080",2022-01-09 19:00:00,"E00050",21,"Apple 120","Denied Claim",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000081",2022-01-11 19:00:00,"E00004",10,"Nokia 680","Issue Resolved",1,"Sherri","Murillo","E00004","Omaha","Nebraska","East",1,"Tom Cruise"
"C000082",2022-01-13 19:00:00,"E00050",8,"Apple 120","Return and Refund",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000083",2022-01-16 19:00:00,"E00008",11,"Google 790","Issue Resolved",4,"Rufus","Boyer","E00008","Omaha","Nebraska","East",2,"Tom Hanks"
"C000084",2022-01-17 19:00:00,"E00050",12,"Nokia 680","Denied Claim",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000085",2022-01-20 19:00:00,"E00010",7,"Google 790","Issue Resolved",5,"Lacey-Mai","Bonner","E00010","Omaha","Nebraska","East",2,"Tom Hanks"
"C000086",2022-01-23 19:00:00,"E00050",15,"Apple 120","Issue Resolved",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000087",2022-01-24 19:00:00,"E00035",18,"Google 790","Return and Refund",4,"Marianna","Thorpe","E00035","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000088",2022-01-30 19:00:00,"E00015",6,"Apple 120","Issue Resolved",1,"Huzaifa","Benitez","E00015","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000089",2022-01-31 19:00:00,"E00050",13,"Google 790","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000090",2022-02-02 19:00:00,"E00030",8,"Google 790","Return and Refund",5,"Louisa","Brock","E00030","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000091",2022-02-03 19:00:00,"E00037",25,"Apple 120","Return and Refund",3,"Zubair","Mccullough","E00037","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000092",2022-02-08 19:00:00,"E00020",18,"Apple 120","Return and Refund",3,"Giovanni","Porter","E00020","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000093",2022-02-09 19:00:00,"E00039",21,"Google 790","Denied Claim",3,"April","Gill","E00039","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000094",2022-02-10 19:00:00,"E00050",3,"Apple 120","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000095",2022-02-14 19:00:00,"E00003",22,"Nokia 680","Denied Claim",2,"Abraham","Whitley","E00003","Omaha","Nebraska","East",1,"Tom Cruise"
"C000096",2022-02-16 19:00:00,"E00050",18,"Apple 120","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000097",2022-02-17 19:00:00,"E00050",5,"Apple 120","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000098",2022-02-20 19:00:00,"E00050",13,"Google 790","Denied Claim",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000099",2022-02-21 19:00:00,"E00032",23,"Nokia 680","Issue Resolved",4,"Owais","Workman","E00032","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000100",2022-02-23 19:00:00,"E00004",12,"Nokia 680","Denied Claim",1,"Sherri","Murillo","E00004","Omaha","Nebraska","East",1,"Tom Cruise"
"C000101",2022-01-05 19:00:00,"E00022",5,"Nokia 680","Return and Refund",3,"Donnie","Watts","E00022","Chadron","Nebraska","North",4,"Channing Tatum"
"C000102",2022-01-04 19:00:00,"E00050",20,"Apple 120","Return and Refund",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000103",2022-01-05 19:00:00,"E00038",24,"Nokia 680","Issue Resolved",2,"Bonita","Erickson","E00038","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000104",2022-01-06 19:00:00,"E00016",9,"Nokia 680","Denied Claim",2,"Paolo","Vega","E00016","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000105",2022-01-09 19:00:00,"E00038",22,"Google 790","Issue Resolved",2,"Bonita","Erickson","E00038","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000106",2022-01-11 19:00:00,"E00035",6,"Google 790","Denied Claim",2,"Marianna","Thorpe","E00035","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000107",2022-01-13 19:00:00,"E00007",5,"Nokia 680","Denied Claim",1,"Sana","Moran","E00007","Omaha","Nebraska","East",1,"Tom Cruise"
"C000108",2022-01-16 19:00:00,"E00010",12,"Nokia 680","Return and Refund",3,"Lacey-Mai","Bonner","E00010","Omaha","Nebraska","East",2,"Tom Hanks"
"C000109",2022-01-17 19:00:00,"E00018",20,"Nokia 680","Return and Refund",5,"Maci","Kinney","E00018","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000110",2022-01-20 19:00:00,"E00029",13,"Google 790","Return and Refund",5,"Tulisa","Haworth","E00029","Chadron","Nebraska","North",4,"Channing Tatum"
"C000111",2022-01-23 19:00:00,"E00002",7,"Google 790","Return and Refund",5,"Dahlia","Grey","E00002","Omaha","Nebraska","East",1,"Tom Cruise"
"C000112",2022-01-24 19:00:00,"E00028",6,"Nokia 680","Return and Refund",1,"Cyrus","Vaughan","E00028","Chadron","Nebraska","North",4,"Channing Tatum"
"C000113",2022-01-30 19:00:00,"E00007",11,"Google 790","Denied Claim",1,"Sana","Moran","E00007","Omaha","Nebraska","East",1,"Tom Cruise"
"C000114",2022-01-31 19:00:00,"E00035",15,"Nokia 680","Return and Refund",3,"Marianna","Thorpe","E00035","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000115",2022-02-02 19:00:00,"E00038",23,"Apple 120","Denied Claim",3,"Bonita","Erickson","E00038","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000116",2022-02-03 19:00:00,"E00050",17,"Nokia 680","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000117",2022-02-08 19:00:00,"E00017",25,"Apple 120","Denied Claim",1,"Lewie","Garcia","E00017","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000118",2022-02-09 19:00:00,"E00029",13,"Google 790","Return and Refund",3,"Tulisa","Haworth","E00029","Chadron","Nebraska","North",4,"Channing Tatum"
"C000119",2022-02-10 19:00:00,"E00012",21,"Google 790","Return and Refund",5,"Isma","Velez","E00012","Omaha","Nebraska","East",2,"Tom Hanks"
"C000120",2022-02-14 19:00:00,"E00017",12,"Google 790","Denied Claim",2,"Lewie","Garcia","E00017","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000121",2022-02-16 19:00:00,"E00004",12,"Apple 120","Return and Refund",1,"Sherri","Murillo","E00004","Omaha","Nebraska","East",1,"Tom Cruise"
"C000122",2022-02-17 19:00:00,"E00050",15,"Nokia 680","Issue Resolved",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000123",2022-02-20 19:00:00,"E00035",17,"Nokia 680","Return and Refund",3,"Marianna","Thorpe","E00035","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000124",2022-02-21 19:00:00,"E00033",15,"Google 790","Issue Resolved",4,"Diesel","Leon","E00033","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000125",2022-02-23 19:00:00,"E00050",21,"Apple 120","Issue Resolved",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000126",2022-01-05 19:00:00,"E00050",18,"Google 790","Denied Claim",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000127",2022-01-04 19:00:00,"E00020",9,"Google 790","Issue Resolved",4,"Giovanni","Porter","E00020","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000128",2022-01-05 19:00:00,"E00017",17,"Google 790","Return and Refund",3,"Lewie","Garcia","E00017","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000129",2022-01-06 19:00:00,"E00028",8,"Apple 120","Issue Resolved",1,"Cyrus","Vaughan","E00028","Chadron","Nebraska","North",4,"Channing Tatum"
"C000130",2022-01-09 19:00:00,"E00015",9,"Apple 120","Denied Claim",1,"Huzaifa","Benitez","E00015","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000131",2022-01-11 19:00:00,"E00003",16,"Google 790","Return and Refund",4,"Abraham","Whitley","E00003","Omaha","Nebraska","East",1,"Tom Cruise"
"C000132",2022-01-13 19:00:00,"E00003",24,"Nokia 680","Issue Resolved",4,"Abraham","Whitley","E00003","Omaha","Nebraska","East",1,"Tom Cruise"
"C000133",2022-01-16 19:00:00,"E00022",22,"Nokia 680","Return and Refund",5,"Donnie","Watts","E00022","Chadron","Nebraska","North",4,"Channing Tatum"
"C000134",2022-01-17 19:00:00,"E00050",25,"Google 790","Issue Resolved",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000135",2022-01-20 19:00:00,"E00024",13,"Apple 120","Issue Resolved",1,"Ramone","Whitehouse","E00024","Chadron","Nebraska","North",4,"Channing Tatum"
"C000136",2022-01-23 19:00:00,"E00012",10,"Google 790","Issue Resolved",4,"Isma","Velez","E00012","Omaha","Nebraska","East",2,"Tom Hanks"
"C000137",2022-01-24 19:00:00,"E00028",20,"Nokia 680","Denied Claim",1,"Cyrus","Vaughan","E00028","Chadron","Nebraska","North",4,"Channing Tatum"
"C000138",2022-01-30 19:00:00,"E00023",5,"Google 790","Issue Resolved",5,"Harleigh","Murphy","E00023","Chadron","Nebraska","North",4,"Channing Tatum"
"C000139",2022-01-31 19:00:00,"E00050",7,"Nokia 680","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000140",2022-02-02 19:00:00,"E00038",5,"Apple 120","Issue Resolved",3,"Bonita","Erickson","E00038","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000141",2022-02-03 19:00:00,"E00031",14,"Google 790","Denied Claim",1,"Fatema","Dowling","E00031","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000142",2022-02-08 19:00:00,"E00009",9,"Apple 120","Issue Resolved",5,"Reanna","Arellano","E00009","Omaha","Nebraska","East",2,"Tom Hanks"
"C000143",2022-02-09 19:00:00,"E00029",7,"Nokia 680","Denied Claim",2,"Tulisa","Haworth","E00029","Chadron","Nebraska","North",4,"Channing Tatum"
"C000144",2022-02-10 19:00:00,"E00007",6,"Apple 120","Return and Refund",1,"Sana","Moran","E00007","Omaha","Nebraska","East",1,"Tom Cruise"
"C000145",2022-02-14 19:00:00,"E00037",17,"Nokia 680","Return and Refund",3,"Zubair","Mccullough","E00037","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000146",2022-02-16 19:00:00,"E00019",12,"Google 790","Return and Refund",4,"Dawud","Daniel","E00019","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000147",2022-02-17 19:00:00,"E00017",16,"Nokia 680","Denied Claim",2,"Lewie","Garcia","E00017","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000148",2022-02-20 19:00:00,"E00050",6,"Nokia 680","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000149",2022-02-21 19:00:00,"E00006",14,"Nokia 680","Denied Claim",1,"Juan","Schwartz","E00006","Omaha","Nebraska","East",1,"Tom Cruise"
"C000150",2022-02-23 19:00:00,"E00050",4,"Nokia 680","Denied Claim",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000151",2022-01-05 19:00:00,"E00007",6,"Google 790","Return and Refund",1,"Sana","Moran","E00007","Omaha","Nebraska","East",1,"Tom Cruise"
"C000152",2022-01-04 19:00:00,"E00050",17,"Nokia 680","Issue Resolved",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000153",2022-01-05 19:00:00,"E00050",22,"Nokia 680","Return and Refund",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000154",2022-01-06 19:00:00,"E00016",14,"Google 790","Denied Claim",2,"Paolo","Vega","E00016","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000155",2022-01-09 19:00:00,"E00005",8,"Nokia 680","Denied Claim",1,"Marion","Rosas","E00005","Omaha","Nebraska","East",1,"Tom Cruise"
"C000156",2022-01-11 19:00:00,"E00010",3,"Apple 120","Issue Resolved",5,"Lacey-Mai","Bonner","E00010","Omaha","Nebraska","East",2,"Tom Hanks"
"C000157",2022-01-13 19:00:00,"E00050",7,"Google 790","Denied Claim",2,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000158",2022-01-16 19:00:00,"E00025",23,"Google 790","Return and Refund",5,"Baran","Petersen","E00025","Chadron","Nebraska","North",4,"Channing Tatum"
"C000159",2022-01-17 19:00:00,"E00028",6,"Apple 120","Issue Resolved",1,"Cyrus","Vaughan","E00028","Chadron","Nebraska","North",4,"Channing Tatum"
"C000160",2022-01-20 19:00:00,"E00024",13,"Apple 120","Return and Refund",1,"Ramone","Whitehouse","E00024","Chadron","Nebraska","North",4,"Channing Tatum"
"C000161",2022-01-23 19:00:00,"E00024",18,"Google 790","Return and Refund",1,"Ramone","Whitehouse","E00024","Chadron","Nebraska","North",4,"Channing Tatum"
"C000162",2022-01-24 19:00:00,"E00018",11,"Google 790","Issue Resolved",5,"Maci","Kinney","E00018","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000163",2022-01-30 19:00:00,"E00033",19,"Apple 120","Denied Claim",2,"Diesel","Leon","E00033","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000164",2022-01-31 19:00:00,"E00021",20,"Google 790","Issue Resolved",4,"Igor","Clements","E00021","Chadron","Nebraska","North",4,"Channing Tatum"
"C000165",2022-02-02 19:00:00,"E00021",18,"Nokia 680","Issue Resolved",4,"Igor","Clements","E00021","Chadron","Nebraska","North",4,"Channing Tatum"
"C000166",2022-02-03 19:00:00,"E00027",17,"Apple 120","Return and Refund",4,"Brayden","Franklin","E00027","Chadron","Nebraska","North",4,"Channing Tatum"
"C000167",2022-02-08 19:00:00,"E00050",9,"Apple 120","Return and Refund",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
